node_ids timestamps population
0 3998.6314390131106 PAG_aff_virt
0 6623.523225029224 PAG_aff_virt
0 16757.457868616166 PAG_aff_virt
0 21394.476431096253 PAG_aff_virt
0 28428.798547671307 PAG_aff_virt
0 36655.528548311275 PAG_aff_virt
0 36717.71054453132 PAG_aff_virt
0 45137.20669311295 PAG_aff_virt
0 55478.63194543897 PAG_aff_virt
0 64725.1135443064 PAG_aff_virt
0 83692.34314612988 PAG_aff_virt
0 104363.87673595286 PAG_aff_virt
0 110288.93207780617 PAG_aff_virt
0 123032.05687469506 PAG_aff_virt
0 132959.35931645663 PAG_aff_virt
0 137716.66137616173 PAG_aff_virt
0 141047.76818568146 PAG_aff_virt
0 172392.821743655 PAG_aff_virt
0 195024.74663334066 PAG_aff_virt
0 231689.20211798907 PAG_aff_virt
0 240952.4047180603 PAG_aff_virt
0 254841.03549585398 PAG_aff_virt
0 269895.56663757976 PAG_aff_virt
0 271349.587535528 PAG_aff_virt
0 273678.12274091836 PAG_aff_virt
0 299104.5776284439 PAG_aff_virt
0 316074.2390403829 PAG_aff_virt
0 325807.2783180439 PAG_aff_virt
0 354451.2849265788 PAG_aff_virt
0 356346.82860141085 PAG_aff_virt
0 363630.6339484805 PAG_aff_virt
0 373681.1805743147 PAG_aff_virt
0 385864.474787798 PAG_aff_virt
0 401737.4675822358 PAG_aff_virt
0 401959.868120888 PAG_aff_virt
0 408115.2808520808 PAG_aff_virt
0 430740.8070028535 PAG_aff_virt
0 444625.43316716695 PAG_aff_virt
0 446291.48873132304 PAG_aff_virt
0 459562.24407966377 PAG_aff_virt
0 468916.6343249477 PAG_aff_virt
0 475015.354670702 PAG_aff_virt
0 485624.526263591 PAG_aff_virt
0 509159.00549074647 PAG_aff_virt
0 516541.29430634197 PAG_aff_virt
0 518612.5838793127 PAG_aff_virt
1 1600.2761728344205 PAG_aff_virt
1 10788.66496407881 PAG_aff_virt
1 23253.386004719556 PAG_aff_virt
1 27558.685578029104 PAG_aff_virt
1 29599.87074203667 PAG_aff_virt
1 36429.997024455246 PAG_aff_virt
1 43301.86790034527 PAG_aff_virt
1 48392.966302997076 PAG_aff_virt
1 50097.82958440259 PAG_aff_virt
1 57562.62755639629 PAG_aff_virt
1 60765.80161149802 PAG_aff_virt
1 65208.84620211956 PAG_aff_virt
1 115520.44444177282 PAG_aff_virt
1 119118.52890819295 PAG_aff_virt
1 122024.68683877459 PAG_aff_virt
1 137065.92255444243 PAG_aff_virt
