node_ids timestamps population
0 4995.018608286797 EUS_aff_virt
0 6243.317822931545 EUS_aff_virt
0 29711.891159382045 EUS_aff_virt
0 29851.639578697166 EUS_aff_virt
0 32962.02011357559 EUS_aff_virt
0 37511.49062160671 EUS_aff_virt
0 45181.4877203068 EUS_aff_virt
0 51051.24414784476 EUS_aff_virt
0 62832.904915449544 EUS_aff_virt
0 73372.3198420444 EUS_aff_virt
0 79828.77664854685 EUS_aff_virt
0 80062.70834616915 EUS_aff_virt
0 95340.22695825183 EUS_aff_virt
0 100638.37201474929 EUS_aff_virt
0 102438.17451863772 EUS_aff_virt
0 106459.99021980015 EUS_aff_virt
0 120938.84650265651 EUS_aff_virt
0 123940.97499360998 EUS_aff_virt
0 133301.4132950732 EUS_aff_virt
0 141360.37294398976 EUS_aff_virt
0 151500.17518927524 EUS_aff_virt
0 152633.1201261167 EUS_aff_virt
0 160699.75835714597 EUS_aff_virt
0 168217.09592587192 EUS_aff_virt
0 193113.55676609394 EUS_aff_virt
0 207405.47996713198 EUS_aff_virt
0 209346.81641747348 EUS_aff_virt
0 220381.76772689115 EUS_aff_virt
0 222573.94042296952 EUS_aff_virt
0 231200.38603200062 EUS_aff_virt
0 233192.41468054554 EUS_aff_virt
0 237077.01145566595 EUS_aff_virt
0 238668.5319086828 EUS_aff_virt
0 267427.2129125257 EUS_aff_virt
0 271054.5919228114 EUS_aff_virt
0 292475.46557248605 EUS_aff_virt
0 294148.0036060763 EUS_aff_virt
0 295574.8672768397 EUS_aff_virt
0 296748.8355983018 EUS_aff_virt
0 315008.78258470516 EUS_aff_virt
0 318084.6135408428 EUS_aff_virt
0 333920.67990629777 EUS_aff_virt
0 334199.44330822205 EUS_aff_virt
0 343400.541834053 EUS_aff_virt
0 345695.4260442915 EUS_aff_virt
0 359258.98709567444 EUS_aff_virt
0 366657.19934179593 EUS_aff_virt
0 372675.2038320377 EUS_aff_virt
0 374188.40156577824 EUS_aff_virt
0 388765.26774306747 EUS_aff_virt
0 421371.4175409304 EUS_aff_virt
0 431727.25248045474 EUS_aff_virt
0 433513.68160969537 EUS_aff_virt
0 439947.9609057524 EUS_aff_virt
0 440569.4019618652 EUS_aff_virt
0 449031.9251782069 EUS_aff_virt
0 463950.7515528571 EUS_aff_virt
0 473581.73053461633 EUS_aff_virt
0 476627.81669618335 EUS_aff_virt
0 486860.76664480526 EUS_aff_virt
0 491321.1672605398 EUS_aff_virt
0 518782.22368990706 EUS_aff_virt
0 538655.4779659316 EUS_aff_virt
0 545099.665848253 EUS_aff_virt
0 546603.6635064547 EUS_aff_virt
0 552167.3574984386 EUS_aff_virt
0 552487.1737858123 EUS_aff_virt
0 559043.9413856321 EUS_aff_virt
0 586320.6425028282 EUS_aff_virt
0 587649.6221828123 EUS_aff_virt
0 589092.943485076 EUS_aff_virt
0 597519.9459148287 EUS_aff_virt
1 4423.358775846901 EUS_aff_virt
1 5403.577030815163 EUS_aff_virt
1 8675.952633434847 EUS_aff_virt
1 34888.84878784118 EUS_aff_virt
1 73153.7436873114 EUS_aff_virt
1 74744.91211699479 EUS_aff_virt
1 96687.54247807582 EUS_aff_virt
1 113274.8059916631 EUS_aff_virt
1 150785.7278241401 EUS_aff_virt
1 161269.31552597106 EUS_aff_virt
1 166679.29784891388 EUS_aff_virt
1 213353.1470539414 EUS_aff_virt
1 237808.4600541071 EUS_aff_virt
1 254455.03935067324 EUS_aff_virt
1 254696.6593759223 EUS_aff_virt
1 260057.03132649968 EUS_aff_virt
1 263261.29296434054 EUS_aff_virt
1 265611.2467282656 EUS_aff_virt
1 301168.9434952533 EUS_aff_virt
1 305104.700626838 EUS_aff_virt
1 328609.52058721526 EUS_aff_virt
1 333517.6748560954 EUS_aff_virt
1 342020.4349991173 EUS_aff_virt
1 369106.3648758035 EUS_aff_virt
1 369222.0730413236 EUS_aff_virt
1 381437.5701063931 EUS_aff_virt
1 381706.817676186 EUS_aff_virt
1 391224.6185745572 EUS_aff_virt
1 396933.4559901371 EUS_aff_virt
1 404742.3209479679 EUS_aff_virt
1 455984.35841173655 EUS_aff_virt
1 472802.8866978642 EUS_aff_virt
1 473283.2780434086 EUS_aff_virt
1 476189.34588351776 EUS_aff_virt
1 492333.0708788746 EUS_aff_virt
1 523281.24437968945 EUS_aff_virt
1 534339.060057237 EUS_aff_virt
1 539486.1650032866 EUS_aff_virt
