edge_type_id target_query source_query distance_range dynamics_params cconnection_rule delay target_sections model_template
100 pop_name=='IND' pop_name=='Bladaff' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
101 pop_name=='Hypo' pop_name=='Bladaff' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
102 pop_name=='IND' pop_name=='EUSaff' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
103 pop_name=='IND' pop_name=='PAGaff' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
104 pop_name=='PGN' pop_name=='IND' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
105 pop_name=='IMG' pop_name=='Hypo' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
106 pop_name=='INmplus' pop_name=='EUSaff' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
107 pop_name=='INmminus' pop_name=='EUSaff' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
108 pop_name=='PGN' pop_name=='INmplus' "[0.0, 300.0]" AMPA_ExcToExc.json "<function percent_connector at 0x108c7f010>" 2.0 ['somatic'] Exp2Syn
109 pop_name=='PGN' pop_name=='INmminus' "[0.0, 300.0]" GABA_InhToExc.json NULL 2.0 ['somatic'] Exp2Syn
110 pop_name=='MPG' pop_name=='PGN' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
111 pop_name=='FB' pop_name=='PGN' "[0.0, 300.0]" AMPA_ExcToExc.json NULL 2.0 ['somatic'] Exp2Syn
112 pop_name=='IND' pop_name=='FB' "[0.0, 300.0]" GABA_InhToInh.json NULL 2.0 ['somatic'] Exp2Syn
113 pop_name=='Hypo' pop_name=='PAGaff' "[0.0, 300.0]" GABA_InhToInh.json NULL 2.0 ['somatic'] Exp2Syn
